ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Sense_ID
kgv-2336-3,,kgv,2336,=tenden,=tenden,,,,,,,,SN002435
kgv-1229-1,,kgv,1229,tenenun,tenenun,,,,,,,,SN002436
kgv-1201-1,,kgv,1201,teng,teng,,,,,,,,SN002438
kgv-1576-1,,kgv,1576,tengguen,tengguen,,,,,,,,SN002443
kgv-1201-2,,kgv,1201,tengun,tengun,,,,,,,,SN002445
kgv-1255-1,,kgv,1255,teok,teok,,,,,,,,SN002446
kgv-249-1,,kgv,249,teok,teok,,,,,,,,SN002447
kgv-1507-2,,kgv,1507,tep,tep,,,,,,,,SN002448
kgv-1507-3,,kgv,1507,*tep,*tep,,,,,,,,SN002450
kgv-1462-1,,kgv,1462,tepeles,tepeles,,,,,,,,SN002452
kgv-1493-12,,kgv,1493,tepkon,tepkon,,,,,,,,SN002453
kgv-1373-2,,kgv,1373,ter,ter,,,,,,,,SN002455
kgv-497-2,,kgv,497,ter,ter,,,,,,,,SN002456
kgv-2921-5,,kgv,2921,terus,terus,,,,,,,,SN002461
kgv-3699-3,,kgv,3699,terus,terus,,,,,,,,SN002462
kgv-1383-4,,kgv,1383,tete,tete,,,,,,,,SN002463
kgv-3353-1,,kgv,3353,teteris,teteris,,,,,,,,SN002464
kgv-1507-4,,kgv,1507,teun,teun,,,,,,,,SN002466
kgv-1554-3,,kgv,1554,teya,teya,,,,,,,,SN002467
kgv-492-2,,kgv,492,tiga,tiga,,,,,,,,SN002469
kgv-1229-2,,kgv,1229,tik,tik,,,,,,,,SN002470
kgv-863-6,,kgv,863,*tim,*tim,,,,,,,,SN002473
kgv-123-1,,kgv,123,timbang,timbang,,,,,,,,SN002474
kgv-863-7,,kgv,863,timun,timun,,,,,,,,SN002476
kgv-3808-1,,kgv,3808,ting,ting,,,,,,,,SN002478
kgv-787-3,,kgv,787,tiri,tiri,,,,,,,,SN002479
kgv-908-1,,kgv,908,tiri,tiri,,,,,,,,SN002480
kgv-1019-3,,kgv,1019,to,to,,,,,,,,SN002482
kgv-728-2,,kgv,728,tok,tok,,,,,,,,SN002484
kgv-1422-3,,kgv,1422,tok bes,tok_bes,,,,,,,,SN002486
kgv-2355-1,,kgv,2355,tokitoki,tokitoki,,,,,,,,SN002489
kgv-3667-1,,kgv,3667,toktok,toktok,,,,,,,,SN002491
kgv-1422-4,,kgv,1422,toktok,toktok,,,,,,,,SN002492
kgv-2444-1,,kgv,2444,tol,tol,,,,,,,,SN002493
kgv-1432-3,,kgv,1432,tolcie,tolcie,,,,,,,,SN002496
kgv-2468-2,,kgv,2468,toman,toman,,,,,,,,SN002499
kgv-723-2,,kgv,723,tompat,tompat,,,,,,,,SN002500
kgv-2548-2,,kgv,2548,tong,tong,,,,,,,,SN002501
kgv-1458-3,,kgv,1458,toni,toni,,,,,,,,SN002504
kgv-2235-1,,kgv,2235,toras,toras,,,,,,,,SN002508
kgv-2298-1,,kgv,2298,towari,towari,,,,,,,,SN002515
kgv-1433-3,,kgv,1433,tu,tu,,,,,,,,SN002516
kgv-1422-5,,kgv,1422,tua,tua,,,,,,,,SN002517
kgv-1229-3,,kgv,1229,tuaringgiar,tuaringgiar,,,,,,,,SN002520
kgv-1422-6,,kgv,1422,tuaruar,tuaruar,,,,,,,,SN002521
kgv-2766-1,,kgv,2766,tumin,tumin,,,,,,,,SN002525
kgv-1949-1,,kgv,1949,tumteng,tumteng,,,,,,,,SN002526
kgv-2099-1,,kgv,2099,tumun,tumun,,,,,,,,SN002527
kgv-1246-6,,kgv,1246,tumun,tumun,,,,,,,,SN002528
kgv-1620-1,,kgv,1620,tumun canam,tumun_canam,,,,,,,,SN002529
kgv-1149-1,,kgv,1149,tumun miskinden,tumun_miskinden,,,,,,,,SN002531
kgv-1357-1,,kgv,1357,tumun pas,tumun_pas,,,,,,,,SN002532
kgv-1311-2,,kgv,1311,=tun,=tun,,,,,,,,SN002534
kgv-1280-5,,kgv,1280,tur,tur,,,,,,,,SN002539
kgv-614-2,,kgv,614,turing,turing,,,,,,,,SN002540
kgv-1272-3,,kgv,1272,u,u,,,,,,,,SN002542
kgv-1506-1,,kgv,1506,ukir,ukir,,,,,,,,SN002547
kgv-2845-1,,kgv,2845,ukuran,ukuran,,,,,,,,SN002548
kgv-1142-1,,kgv,1142,ul,ul,,,,,,,,SN002549
kgv-1272-4,,kgv,1272,ulan,ulan,,,,,,,,SN002550
kgv-108-1,,kgv,108,uli,uli,,,,,,,,SN002551
kgv-1746-1,,kgv,1746,ulpom,ulpom,,,,,,,,SN002552
kgv-592-1,,kgv,592,ulur,ulur,,,,,,,,SN002554
kgv-789-1,,kgv,789,umat,umat,,,,,,,,SN002555
kgv-1993-1,,kgv,1993,un=,un=,,,,,,,,SN002556
kgv-2400-3,,kgv,2400,-un,-un,,,,,,,,SN002557
kgv-1119-1,,kgv,1119,unkoryap,unkoryap,,,,,,,,SN002565
kgv-1195-2,,kgv,1195,unmasir,unmasir,,,,,,,,SN002566
kgv-258-1,,kgv,258,up,up,,,,,,,,SN002569
kgv-960-1,,kgv,960,ur,ur,,,,,,,,SN002573
kgv-1489-2,,kgv,1489,ur kirun,ur_kirun,,,,,,,,SN002574
kgv-1914-1,,kgv,1914,uran,uran,,,,,,,,SN002576
kgv-667-1,,kgv,667,urap,urap,,,,,,,,SN002577
kgv-978-1,,kgv,978,uren,uren,,,,,,,,SN002578
kgv-1222-1,,kgv,1222,us,us,,,,,,,,SN002581
kgv-1720-4,,kgv,1720,ut,ut,,,,,,,,SN002587
kgv-1720-5,,kgv,1720,ut,ut,,,,,,,,SN002588
kgv-1241-3,,kgv,1241,utkon,utkon,,,,,,,,SN002590
kgv-1214-1,,kgv,1214,wa,wa,,,,,,,,SN002592
kgv-1238-1,,kgv,1238,waktu,waktu,,,,,,,,SN002595
kgv-892-2,,kgv,892,waktu,waktu,,,,,,,,SN002596
kgv-892-3,,kgv,892,*wan,*wan,,,,,,,,SN002607
kgv-1558-1,,kgv,1558,wandi,wandi,,,,,,,,SN002608
kgv-1214-2,,kgv,1214,wane,wane,,,,,,,,SN002610
kgv-2927-1,,kgv,2927,wangga,wangga,,,,,,,,SN002612
kgv-2914-1,,kgv,2914,wanggon,wanggon,,,,,,,,SN002614
kgv-777-1,,kgv,777,wangguwanggus,wangguwanggus,,,,,,,,SN002616
kgv-2638-2,,kgv,2638,war,war,,,,,,,,SN002619
kgv-1110-2,,kgv,1110,war,war,,,,,,,,SN002622
kgv-891-1,,kgv,891,warkin,warkin,,,,,,,,SN002629
kgv-1026-1,,kgv,1026,warkin garos,warkin_garos,,,,,,,,SN002630
kgv-1026-2,,kgv,1026,warkin kararak,warkin_kararak,,,,,,,,SN002631
kgv-613-2,,kgv,613,warkin laur,warkin_laur,,,,,,,,SN002632
kgv-613-3,,kgv,613,warkin nasesak,warkin_nasesak,,,,,,,,SN002633
kgv-1026-3,,kgv,1026,warkin tararup,warkin_tararup,,,,,,,,SN002634
kgv-909-2,,kgv,909,warum,warum,,,,,,,,SN002636
kgv-1439-1,,kgv,1439,waruo,waruo,,,,,,,,SN002637
kgv-136-1,,kgv,136,watko,watko,,,,,,,,SN002648
kgv-1425-1,,kgv,1425,welenggap,welenggap,,,,,,,,SN002656
kgv-665-1,,kgv,665,wenawena,wenawena,,,,,,,,SN002657
kgv-88-2,,kgv,88,wenawena eun,wenawena_eun,,,,,,,,SN002658
kgv-3064-1,,kgv,3064,wenggam,wenggam,,,,,,,,SN002659
kgv-1040-1,,kgv,1040,westal,westal,,,,,,,,SN002663
kgv-2398-1,,kgv,2398,wie,wie,,,,,,,,SN002666
kgv-19-2,,kgv,19,wien,wien,,,,,,,,SN002667
kgv-1156-6,,kgv,1156,wiercie,wiercie,,,,,,,,SN002671
kgv-2628-4,,kgv,2628,wierun,wierun,,,,,,,,SN002672
kgv-2628-5,,kgv,2628,wiet,wiet,,,,,,,,SN002673
kgv-1474-3,,kgv,1474,wilak,wilak,,,,,,,,SN002674
kgv-1156-7,,kgv,1156,wirma,wirma,,,,,,,,SN002676
kgv-1174-1,,kgv,1174,wis,wis,,,,,,,,SN002677
kgv-373-1,,kgv,373,wise,wise,,,,,,,,SN002678
kgv-373-2,,kgv,373,wiseme,wiseme,,,,,,,,SN002679
kgv-194-1,,kgv,194,wol,wol,,,,,,,,SN002680
kgv-1272-5,,kgv,1272,wowa,wowa,,,,,,,,SN002684
kgv-1272-6,,kgv,1272,wowa caun,wowa_caun,,,,,,,,SN002685
kgv-1272-7,,kgv,1272,wowa temun,wowa_temun,,,,,,,,SN002686
kgv-607-2,,kgv,607,wuar sisiarun,wuar_sisiarun,,,,,,,,SN002687
kgv-1920-1,,kgv,1920,wuorwuor,wuorwuor,,,,,,,,SN002690
kgv-1268-4,,kgv,1268,ya,ya,,,,,,,,SN002691
kgv-3009-1,,kgv,3009,yakop,yakop,,,,,,,,SN002695
kgv-3668-1,,kgv,3668,yal,yal,,,,,,,,SN002698
kgv-234-1,,kgv,234,yal,yal,,,,,,,,SN002699
kgv-3668-2,,kgv,3668,yalyal,yalyal,,,,,,,,SN002700
kgv-549-2,,kgv,549,yam,yam,,,,,,,,SN002701
kgv-1119-2,,kgv,1119,yap,yap,,,,,,,,SN002702
kgv-410-1,,kgv,410,yap seran,yap_seran,,,,,,,,SN002704
kgv-857-1,,kgv,857,yar,yar,,,,,,,,SN002705
kgv-3028-1,,kgv,3028,yaralus,yaralus,,,,,,,,SN002708
kgv-668-3,,kgv,668,yarpan,yarpan,,,,,,,,SN002713
kgv-1326-1,,kgv,1326,yawe,yawe,,,,,,,,SN002719
kgv-2540-1,,kgv,2540,yawir,yawir,,,,,,,,SN002723
kgv-1014-2,,kgv,1014,ye,ye,,,,,,,,SN002724
kgv-581-2,,kgv,581,yecie,yecie,,,,,,,,SN002725
kgv-1439-2,,kgv,1439,yie,yie,,,,,,,,SN002729
kgv-1268-5,,kgv,1268,yo,yo,,,,,,,,SN002731
kgv-78-5,,kgv,78,yume,yume,,,,,,,,SN002735
kgv-78-6,,kgv,78,yumene,yumene,,,,,,,,SN002736
kgv-1225-3,,kgv,1225,yuol,yuol,,,,,,,,SN002737
kgv-1238-2,,kgv,1238,yuol tama,yuol_tama,,,,,,,,SN002738
kgv-708-2,,kgv,708,yuolyuol,yuolyuol,,,,,,,,SN002739
kgv-1343-1,,kgv,1343,yuon,yuon,,,,,,,,SN002740
kgv-1449-2,,kgv,1449,yuon,yuon,,,,,,,,SN002741
kgv-332-1,,kgv,332,yuon,yuon,,,,,,,,SN002742
kgv-1817-5,,kgv,1817,yuon daruk,yuon_daruk,,,,,,,,SN002744
kgv-452-1,,kgv,452,yuon monpak,yuon_monpak,,,,,,,,SN002745
kgv-12-1,,kgv,12,yuon nawariri,yuon_nawariri,,,,,,,,SN002746
kgv-2296-1,,kgv,2296,yuon sara,yuon_sara,,,,,,,,SN002747
kgv-1225-4,,kgv,1225,yuor,yuor,,,,,,,,SN002749
kgv-1019-4,,kgv,1019,yuor,yuor,,,,,,,,SN002751
kgv-1657-3,,kgv,1657,yuor,yuor,,,,,,,,SN002752
kgv-1404-1,,kgv,1404,yuorsik,yuorsik,,,,,,,,SN002753
kgv-1214-3,,kgv,1214,yuwa,yuwa,,,,,,,,SN002755
kgv-1558-2,,kgv,1558,yuwandi,yuwandi,,,,,,,,SN002756
kgv-1214-4,,kgv,1214,yuwane,yuwane,,,,,,,,SN002757
kgv-136-2,,kgv,136,yuwatko,yuwatko,,,,,,,,SN002758
